бермудские острова	l21546
гамбия	l21010
вануату	l21556
бенин	l20869
грузия	l169
шида-картли	r23140
гори	c10284
самцхе-джавахети	r23133
ахалкалаки	c28368
ахалцихе	c39849
гурия	r23131
уреки	c71110
автономная республика аджария	r23130
батуми	c10278
самегрело и земо-сванети	r23137
зугдиди	c44113
поти	c10283
мцхета-мтианети	r23136
тбилиси	c10277
степанцминда	c71117
гудаури	c29862
квемо-картли	r23134
рустави	c10285
имеретия	r23139
кутаиси	c10279
армения	l168
гехаркуник	r22100
севан	c10263
армавир	r21764
армавир	c10257
арагацотн	r21765
ширак	r21766
гюмри	c10259
лори	r21767
алаверди	c41344
спитак	c41346
ванадзор	c10258
ереван	r21761
ереван	c10262
арарат	r21762
котайк	r21763
чаренцаван	c41354
раздан	c28100
тавуш	r21768
ноемберян	c41362
иджеван	c28102
дилижан	c10261
азербайджан	l167
габалинский район	r22127
габала	c29694
ленкоранский район	r22150
ленкорань	c26969
кубинский район	r22146
куба	c29711
нахичеванская автономная республика	r22174
нахичевань	c22200
хачмасский район	r22164
хачмас	c29727
шабранский район	r22168
шабран	c29731
кения	l21223
белиз	l21544
кайо	r23697
сан-игнасио	c28001
бельмопан	c24387
гренада	l21426
камерун	l20736
никарагуа	l21231
синт-мартен	l21638
чехия	l125
пльзенский край	r22361
пльзень	c28204
высочина	r22360
гумполец	c30925
пельгржимов	c30936
йиглава	c30919
среднечешский край	r22349
колин	c30416
кладно	c30415
бероун	c30400
мельник	c30424
млада-болеслав	c30426
брандис-над-лабем-стара-болеслав	c30401
подебрады	c30437
нератовице	c30430
южноморавский край	r22358
брно	c10509
зноймо	c30844
злинский край	r22359
угерске-градиште	c30903
краловеградецкий край	r22354
наход	c30674
градец-кралове	c30664
пардубицкий край	r22355
свитавы	c30732
пардубице	c23359
высоке мыто	c30718
оломоуцкий край	r22356
оломоуц	c26443
простеёв	c30777
границе	c30768
моравскосилезский край	r22357
хотебуз	c30813
острава	c22304
карвина	c30795
пршибор	c30804
богумин	c41496
фридек-мистек	c30810
чески тешин	c30815
тршинец	c30808
южночешский край	r22350
писек	c30512
табор	c30521
ческе-будеёвице	c30526
карловарский край	r22351
марианске-лазне	c21613
карловы вары	c10510
хеб	c30562
соколов	c30557
устецкий край	r22352
усти-над-лабем	c30572
мост	c30591
лоуни	c30590
либерецкий край	r22353
яблонец-над-нисоу	c30642
турнов	c30636
либерец	c30623
мелкие острова в составе сша	l21634
уоллис и футуна (франция)	l21635
северные марианские острова	l21631
гренландия	l21567
папуа — новая гвинея	l20739
греция	l246
северные эгейские острова	r21881
митилини	c23386
ионические острова	r21880
кефалиния	c22294
керкира	c22256
закинтос	c22315
южные эгейские острова	r21883
кос	c22261
тира	c22324
родос	c10423
кастелоризо	c29523
карпатос	c22316
парос	c21237
пелопоннес	r21882
каламата	c26937
западная греция	r21885
патры	c23371
фессалия	r21884
волос	c26689
трикала	c39352
ларисса	c31653
западная македония	r21886
кастория	c10420
козани	c31654
восточная македония и фракия	r21878
александруполис	c26730
комотини	c28241
ксанти	c34556
кавала	c22301
драма	c37425
эпир	r21879
янина	c28243
превеза	c22306
аттика	r21874
афины	c10418
китира	c29526
центральная греция	r21875
скирос	c34406
ламия	c31650
центральная македония	r21876
салоники	c10424
катерини	c37423
серре	c34554
крит	r21877
ираклион	c10419
ситиа	c29527
ханья	c22291
парагвай	l20992
департамент альто-парана	r23289
сьюдад-дель-эсте	c36575
департамент бокерон	r23290
филадельфия	c29029
департамент консепсьон	r23295
консепсьон	c28909
столичный округ	r23509
асунсьон	c20994
гаити	l21321
кабо-верде	l21326
аруба	l21536
багамские острова	l21325
сент-китс и невис	l21042
фиджи	l10030
экваториальная гвинея	l21045
россия	l225
псковская область	r10926
новая уситва	c54722
селихново	c54783
заклинье	c54848
пушкинские горы	c21046
плесна	c54905
хилово	c54762
опочка	c20633
боровичи	c68814
лютые болоты	c54751
плюсса	c21659
гдов	c20583
пустошка	c20585
хредино	c54826
исса	c54801
волышово	c85141
чихачево	c54624
бельское устье	c54740
гверздонь	c54768
верхолино	c54767
заречье	c54690
палкино	c22489
чернево	c54912
бежаницы	c10927
кунья	c22488
красногородск	c26296
опухлики	c54673
дно	c10929
великие луки	c10928
забелье	c54792
искра	c54849
шалахово	c54795
грибули	c54718
новоржев	c20582
велье	c54799
карамышево	c85328
крупп	c54838
порхов	c20623
остров	c20641
островцы	c43525
добручи	c43524
эпимахово	c54817
тямша	c43520
мостище	c54813
изборск	c43522
невель	c20681
псков	c25
идрица	c21662
дедовичи	c21663
струги-красные	c21660
пыталово	c21661
черпесса	c54899
лудони	c68836
локня	c21664
славковичи	c54759
кудеверь	c54617
себеж	c10932
новосокольники	c10930
печоры	c10931
заборовье	c54871
усвяты	c22491
ямм	c22492
акмолинская область	r21759
костанайская область	r21751
тамбовская область	r10802
сосновка	c22678
бондари	c22679
новоюрьево	c52958
подгорное	c52959
татаново	c53128
волчки	c53046
селезни	c53124
шмаровка	c52950
шульгино	c52951
новиково	c52957
вишневое	c52954
первомайский	c22677
донское	c43002
заворонежское	c43000
стрельцы	c43007
новая ляда	c43004
покрово-пригородное	c43005
моршанск	c20696
хоботово	c52831
большая дорога	c52952
красивка	c52839
коптево	c52853
сампур	c52893
карай-пущино	c53030
первомайское	c52890
эксталь	c53133
черняное	c53132
глазок	c53136
новосельцево	c53122
мезинец	c52955
петровское	c23391
мордово	c22683
озерки	c52807
покрово-марфино	c53022
афанасьевка	c52865
татарщино	c52862
телешовка	c52863
саюкино	c52861
ранино	c53149
новое тарбеево	c53146
токаревка	c22690
умёт	c22691
поселок им. 2-й пятилетки	c65884
изосимово	c53140
красивое	c53141
мичуринск	c10803
иловай-рождественское	c52817
иловай-дмитриевское	c52816
кариан	c53018
староюрьево	c22689
сатинка	c22688
кирсанов	c20700
рассказово	c20701
серповое	c53093
дмитриевка	c22681
гавриловка	c22680
ярок	c53157
инжавино	c22682
мучкапский	c22684
ржакса	c22687
старое тарбеево	c53152
старотомниково	c53095
жердевка	c20661
уварово	c20663
котовск	c20265
верхнее чуево	c52912
арбеньевка	c52784
ольшанка	c52919
рамза	c53168
марусино	c53082
парский угол	c53086
рымарево	c52776
кобяки	c53162
ленинское	c53164
марьинка	c53165
спасское	c52962
дегтянка	c52969
пичаево	c22686
кочетовка	c52902
тамбов	c13
козьмодемьяновка	c52760
знаменка	c26282
верхнее нащекино	c52999
челнаво-покровское	c52996
чекмари	c52995
федоровка	c52993
третьи левые ламки	c52990
борисовка	c52936
кужное	c52939
зеленый гай	c53139
глуховка	c52758
булыгино	c52756
нижнеспасское	c52855
стежки	c52989
керша	c52852
дмитриевщина	c52851
правые ламки	c52984
подлесное	c52982
горелое	c53110
бокино	c42994
красносвободное	c53115
лысые горы	c53118
терское	c53155
старосеславино	c52827
степанищево	c52828
томская область	r11353
александровское	c11347
кедровый	c11348
